Project,Description,Result_Title,indicator,type_result,Quarter,Status,Modified_Time,ID,value,Type,Implementor,Country,Component
China outward skillshare: green Asset-Backed Security (ABS) issuance ,The Chinese government adopted the recommendation to deliver its first cross-border green ABS on 17th June 2019 when it included the following lines in the policy outcomes published following the 10th UK-China Economic and Financial Dialogue: 'Both sides welcome the collaboration between UK and Chinese financial institutions on the issuance of offshore green Asset-Backed Securities in the UK and other markets'. This commits Chinese and UK institutions to take further actions to secure the first cross-border ABS by the next EFD.,Approval of transaction by regulators and agreement from other stakeholders,Int. Out 3. 'Adoption of recommendation for other action',Intermediate Outcome,2019 Q2,Approved,11-Feb-2020 16:00:51,3814659000000325003,1,In_reported,BofE,China,Component 3: skills shares
Colombia outward skillshare: Sustainable tourism in the Amazon,"Launch of the Omacha Foundation and WWF Colombia's 'Responsible Dolphin Sighting Guide' by the UK's Ambassador to Colombia to fishermen in local communities. 
The guide contained rules that allow a better observation of the dolphins in their natural habitats in a way that reduces negative interactions that may affect them.",Responsible Dolphin Sighting Guide,Output 3.2. 'Communication product disseminated',Output,2018 Q3,Approved,11-Feb-2020 16:09:57,3814659000000366075,1,In_reported,BEIS,Colombia,Component 3: skills shares
Colombian Climate Asset Disclosure Initiative (CCADI),The final chapter of the Barriers Report has been published on the CCADI's webpage document section. ,Publication of the final chapter of the Barriers Report,Output 3.2. 'Communication product disseminated',Output,2019 Q3,Approved,11-Feb-2020 16:10:32,3814659000000284003,1,In_reported,Transforma,Colombia,Component 1: bilateral programme fund
Mexico inward skillshare: Green Finance,"As part of the training feedback form, the representative from Banobras commented that the usefulness and relevance of the training was excellent and that they were guaranteed to use the information and knowledge gained in their normal area of work, specifically by coordinating others within Banobras to incorporate best practice captured through the skillshare into internal processes.",Greater understanding of how the UK's Green Finance Strategy was developed ,Int. Out. 1 'Enhanced action because of training',Intermediate Outcome,2019 Q4,Approved,11-Feb-2020 16:15:23,3814659000000373025,1,In_reported,BEIS,Mexico,Component 3: skills shares
Colombia inward skillshare: Green finance,"Training on green finance and fintech, and sharing of the UK's experience and challenges, gained through attendance at the Green Finance Summit and meetings with BEIS, London Stock Exchange, the Investment Association, Bank of England, Climate Bonds Initiative, Aberdeen Standards Investment, Radium, Principles for Responsible Investment and Financial Conduct Authority across 5 days. ",Meeting at the UK Green Finance Summit,Output 1. 'Training of key actors',Output,2019 Q3,Approved,02-Mar-2020 16:13:57,3814659000000370035,1,In_reported,BEIS,Colombia,Component 3: skills shares
Global Green Finance Leadership Programme,"A national green taxonomy, which included the recommendations provided by the GFLP secretariat, was approved by the Mongolian Financial Stability Board in December 2019. The national taxonomy provides a nationally agreed classification framework of green activities eligible for investment.
The taxonomy is an important building block to create an operational sustainable financial system as it provides financial institutions, policymakers, project developers and other stakeholders with a common understanding and approach to identify, assess, and track green capital flows. ",Approval of a green taxonomy by the Mongolian Financial Stability Board,Int. Out 2. 'Adoption of recommendation for policy/legislation',Intermediate Outcome,2019 Q4,Approved,22-May-2020 09:53:43,3814659000000379168,1,In_reported,Tsinghua University	,China,Component 1: bilateral programme fund
Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies,"CDP completed a White Paper outlining the business case for investment in a set of quantitative indicators for financial service disclosure, which was shared with FCO for feedback on 2nd December 2019. 
Key findings of the white paper included: 1) Despite increased momentum in China for green finance, financial services companies have expressed that they need a framework and methodology to address their portfolio emissions; 2) there is an urge for more peer-to-peer sharing of best practices related to disclosure and investment in the financial services sector; 3) the concept of green finance needs to be standardized; 4) retail investors are an important group with whom to engage in China; 5) any disclosure platform will need to account for the diversity of financial institutions. 
To address these gaps, CDP decided that they would be publishing a new climate change questionnaire for the financial services sector in 2020, whose design was informed through consultations with 24 financial institutions around the world. The questionnaire would cover four main industries – banking, insurance, asset management and asset ownership – and would focus on shifting from operational to financed impacts. After the launch of the questionnaire in 2020, CDP expects to develop a set of quantitative indicators specific to the financial services sector in the future.",Draft white paper on the development of quantitative indicators for financial sector disclosure,Output 3.1. 'Knowledge product developed',Output,2019 Q4,Approved,22-May-2020 14:34:27,3814659000000379142,1,In_reported,CDP,China,Component 1: bilateral programme fund
UK-China Green Finance Programme,"Strategic sector mapping and feasibility study elaborated by Syer, which has identified a number of sustainable hubs in key areas of China. The exercise has also helped identify several UK companies with solutions that fit the Chinese market. There are ongoing governance discussions with the Chinese about how to accelerate market access for these firms.
Among the key objectives of the UK-China GreenTech project was raising awareness of the commercial growth opportunities for UK-based companies to access cleantech growth opportunities in Chinese markets. This study led by Syer has resulted in a better understanding of areas with market potential in China, and options for how a fund could be designed.
By summarising the key China market opportunities, the report enables UK firms to take an informed view on where and how to position their entry into the market in China. The deep dive into core sectors of interest - Energy, Water and Wastewater, Food and Agriculture, Built Environment, Circular Economy and Mobility - highlights:
• Macro-level drivers for change and the types of technology innovation that will contribute to improving sector sustainability.
• A RAG-based analysis of the likely commercial viability of technologies in the Chinese context, based on key investment parameters (supporting policy and regulation, technology maturity, scalability, replicability etc).
• A review of the UK innovation pipeline for each sector, including examples of innovators who have developed solutions at different stages of sector supply chains (e.g. production, distribution, consumption, disposal).
To enable technology transfer to take place and these opportunities to scale, Syer also provides important insights into the type of institutional support required. Focusing on the key features of fund design and processes necessary for success, the strengths and drawbacks of three different fund structuring options (co-investment with China onshore, shared offshore, UK-led) were analysed. This analysis points to a UK-initiated approach as having the potential to deliver the most value-added opportunities at lowest risk. 
Consequently, the proposed mechanism for supporting market access is to set-up an advisory board, leveraging existing networks under the Programme. The Advisory Board will be placed to meet periodically to evaluate technical constraints and package advice to interested UK firms on an as needs basis.
The setup of an incubator as the vehicle for facilitating market entry has been revisited due to 1) a more granular and strategic view on market access and 2) current macro- and micro-economic conditions making it unlikely firms will be in a position to set up in the immediate term in new markets. 
An alternative mechanism being explored is to establish a dedicated GreenTech advisory board to engage with interested firms, evaluate barriers and take forward policy or other supportive measures to facilitate market access. ",Strategic mapping exercise of Chinese green hubs,Output 3.1. 'Knowledge product developed',Output,2019 Q2,Approved,25-May-2020 13:14:50,3814659000000281193,1,In_reported,City of London,China,Component 1: bilateral programme fund
UK-China Green Finance Programme,"The UK-China TCFD pilot on climate and environmental disclosures was established in 2017 to pilot TCFD reporting. This was the first TCFD pilot for China and it was expected that it would inform the direction of China’s environmental disclosure guidelines, enabling China-UK exchange on effective implementation of TCFD. Originally a year, it was extended to three years, with 2019 being the second year of implementation. 
This second year focused on implementation against the principles agreed under the UK-China Disclosure Pilot Working Group Action Plan (published Autumn 2018), including expectations that disclosures use comparable indicators, and achieve higher disclosure targets year on year. During this second year there was a strengthening of networks on climate and environmental disclosure as a result of the expansion of the pilot in China-side participants, as well as increasing ambition among institutions on their disclosures. In particular, during 2019, three additional firms were added to the pilot: PICC Property and Casualty Company Limited, Ping An Insurance (Group) Company of China and AVIC Trust Co.Ltd. This expansion of the pilot translated into an increased influence, and nowadays the pilot supports disclosures from not just banking institutions but also the Chinese insurance and asset management sectors. This provides useful examples for other firms to look to in considering how to make disclosures.",Strengthening of the first UK-China TFCD pilot group,Output 4. 'Network created/strenghtened',Output,2019 Q3,Approved,25-May-2020 13:48:45,3814659000000294015,1,In_reported,City of London,China,Component 1: bilateral programme fund
UK-China Green Finance Programme,The UK-China Green Finance Centre was formally acknowledged during the tenth Economic and Financial Dialogue (EFD) between the UK and China which was held in London in June 2019. ,Acknowledgement of the 'Centre',Int. Out. 5. 'Adoption of knowledge/communication product',Intermediate Outcome,2019 Q2,Approved,25-May-2020 14:26:06,3814659000000477015,1,In_reported,City of London,China,Component 1: bilateral programme fund
